group,subgroup,suborder,subcat,xaxis,xorder,xlabel,chart,value,count,total,missing,x0,x1,x2,x3
District of Columbia,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,32,8,25,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
District of Columbia,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,0,0,5,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Florida,majmatch,1,,actcat,1,1-15,Percent who declared in major area,38.8,1034,2665,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Florida,majmatch,1,,actcat,2,16-19,Percent who declared in major area,48,3070,6398,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Florida,majmatch,1,,actcat,3,20-23,Percent who declared in major area,54.7,5190,9494,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Florida,majmatch,1,,actcat,4,24-27,Percent who declared in major area,57.3,4659,8134,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Florida,majmatch,1,,actcat,5,28-32,Percent who declared in major area,59.7,2872,4807,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Florida,majmatch,1,,actcat,6,33-36,Percent who declared in major area,61.7,312,506,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Florida,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,22.7,467,2053,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Florida,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,27.9,1416,5074,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Florida,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,33.9,2524,7449,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Florida,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,38.6,2430,6303,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Florida,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,39.5,1476,3741,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Florida,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,41.7,155,372,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Georgia,majmatch,1,,actcat,1,1-15,Percent who declared in major area,35.9,429,1194,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Georgia,majmatch,1,,actcat,2,16-19,Percent who declared in major area,47.6,1437,3022,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Georgia,majmatch,1,,actcat,3,20-23,Percent who declared in major area,53.3,1606,3012,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Georgia,majmatch,1,,actcat,4,24-27,Percent who declared in major area,55.3,1524,2754,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Georgia,majmatch,1,,actcat,5,28-32,Percent who declared in major area,57.4,1225,2136,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Georgia,majmatch,1,,actcat,6,33-36,Percent who declared in major area,66.6,235,353,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Georgia,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,20.6,180,874,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
